Date,NVDA.US_Close,TSLA.US_Close,AAPL.US_Close,GOOG.US_Close,NVDA.US_High,TSLA.US_High,AAPL.US_High,GOOG.US_High,NVDA.US_Low,TSLA.US_Low,AAPL.US_Low,GOOG.US_Low,NVDA.US_Open,TSLA.US_Open,AAPL.US_Open,GOOG.US_Open,NVDA.US_Volume,TSLA.US_Volume,AAPL.US_Volume,GOOG.US_Volume
2021-09-21,212.124,246.46,142.396,139.646,213.911,248.247,143.562,140.812,209.167,243.48,141.748,138.906,213.831,244.93,142.894,140.117,20500512.571179,48992169.0,76385404.318939,18129380.0
2021-09-20,210.794,243.39,141.908,139.017,213.991,247.333,143.801,139.362,206.291,239.542,140.242,137.053,211.124,244.853,142.764,139.0,34998167.286753,74272956.0,124376764.09387,34917720.0
2021-09-17,218.656,253.163,145.007,141.464,222.861,253.68,147.739,144.249,217.956,250.0,144.709,141.062,222.651,252.383,147.739,143.798,29495898.192125,84612528.0,130813191.87509,60039820.0
2021-09-16,222.071,252.33,147.709,144.373,222.421,252.97,147.889,145.2,218.926,249.203,146.155,143.416,221.492,250.943,147.361,145.121,15627510.60603,41770179.0,68528873.090433,20298840.0
2021-09-15,223.061,251.943,147.949,145.206,223.321,252.287,148.358,145.582,219.316,246.12,145.317,142.256,222.741,248.333,147.48,143.759,16679594.967464,46073055.0,83886911.942487,20653420.0
2021-09-14,222.071,248.163,147.041,143.406,223.749,251.49,149.982,144.728,220.514,245.467,145.855,142.906,222.401,247.523,149.264,144.161,20006398.930296,55574643.0,110091064.15854,18919140.0
2021-09-13,221.172,247.667,148.467,143.465,229.281,248.26,150.332,144.191,218.236,236.283,147.67,142.282,226.486,246.738,149.544,143.201,29796067.618179,68857446.0,103148982.71563,20175620.0
2021-09-10,224.429,245.423,147.889,141.921,225.906,254.203,154.349,146.019,222.351,244.84,147.62,141.742,223.141,253.2,153.871,145.444,24876043.685354,45552510.0,141917769.21214,32896620.0
2021-09-09,221.422,251.62,152.953,144.914,225.026,254.033,154.977,145.67,220.962,250.543,152.833,144.434,222.771,251.137,154.359,144.884,19716090.870842,42233193.0,57722440.392897,14798560.0
2021-09-08,223.041,251.29,153.981,144.884,225.746,254.817,155.904,145.551,219.426,246.924,152.853,144.2,224.776,253.86,155.844,145.394,25482828.621142,56379108.0,74961368.914814,15491660.0
